11,5,['pain-', 'piti-', 'power-', 'remorse-', 'rest-', 'shame-', 'tact-', 'taste-', 'thank-', 'thought-', 'use-'],['-ful', '-fully', '-less', '-lessly', '-lessness']
11,5,['pain-', 'purpose-', 'rest-', 'shame-', 'soul-', 'tact-', 'taste-', 'thank-', 'thought-', 'tune-', 'use-'],['-ful', '-fully', '-fulness', '-less', '-lessly']
9,5,['ba-', 'ca-', 'fa-', 'fi-', 'ma-', 'pa-', 'si-', 'ta-', 'to-'],['-ll', '-n', '-r', '-re', '-t']
9,5,['objec-', 'obstruc-', 'posi-', 'produc-', 'protec-', 'restric-', 'secre-', 'sugges-', 'transi-'],['-t', '-tion', '-tive', '-tively', '-tiveness']
8,6,['pain-', 'rest-', 'shame-', 'tact-', 'taste-', 'thank-', 'thought-', 'use-'],['-ful', '-fully', '-fulness', '-less', '-lessly', '-lessness']
8,5,['a-', 'ba-', 'ca-', 'i-', 'ma-', 'pa-', 'ta-', 'we-'],['-d', '-ll', '-n', '-re', '-t']
8,5,['b-', 'c-', 'f-', 'm-', 'p-', 'sc-', 'sp-', 't-'],['-an', '-ar', '-are', '-at', '-ore']
8,5,['ba-', 'bu-', 'pi-', 'pu-', 'sha-', 'sta-', 'ta-', 'wi-'],['-ck', '-g', '-ll', '-nk', '-t']
8,5,['ba-', 'ca-', 'fa-', 'ma-', 'pu-', 'spi-', 'ta-', 'to-'],['-ke', '-ll', '-n', '-re', '-t']
8,5,['ba-', 'ha-', 'pu-', 'sha-', 'si-', 'sta-', 'ta-', 'wi-'],['-ck', '-ll', '-nk', '-re', '-t']
8,5,['ba-', 'ma-', 'pa-', 'pu-', 'si-', 'ta-', 'to-', 'we-'],['-ll', '-n', '-re', '-t', '-tter']
8,5,['ba-', 'ma-', 'pa-', 'qui-', 'sha-', 'squa-', 'ta-', 'we-'],['-d', '-ll', '-re', '-t', '-tter']
8,5,['ba-', 'ma-', 'pa-', 'sca-', 'si-', 'spa-', 'ta-', 'to-'],['-n', '-r', '-re', '-t', '-tter']
8,5,['ba-', 'pi-', 'pu-', 'ra-', 'sa-', 'sha-', 'sta-', 'ta-'],['-ck', '-g', '-ke', '-nk', '-t']
8,5,['fi-', 'ma-', 'pu-', 'sha-', 'sta-', 'ta-', 'to-', 'wi-'],['-g', '-le', '-ll', '-re', '-t']
8,5,['neutr-', 'norm-', 'ration-', 're-', 'sentiment-', 'speci-', 'trivi-', 'vit-'],['-al', '-ality', '-alization', '-alize', '-ally']
8,5,['neutra-', 'norma-', 'rationa-', 'rea-', 'sentimenta-', 'specia-', 'trivia-', 'vita-'],['-l', '-lity', '-lization', '-lize', '-lly']
8,5,['push-', 'rac-', 'read-', 'show-', 'sneak-', 'speed-', 'tast-', 'wear-'],['-er', '-ily', '-iness', '-ing', '-y']
7,6,['b-', 'f-', 's-', 'sh-', 'sp-', 't-', 'w-'],['-ake', '-ear', '-ell', '-ill', '-in', '-ore']
7,6,['b-', 'l-', 's-', 'sh-', 'sn-', 'st-', 't-'],['-ack', '-ag', '-ake', '-ore', '-ow', '-uck']
7,6,['l-', 'r-', 's-', 'sh-', 'sl-', 'sn-', 't-'],['-ack', '-ag', '-ake', '-ip', '-ot', '-ow']
7,5,['a-', 'ca-', 'ha-', 'ma-', 'pa-', 'qui-', 'ta-'],['-d', '-ll', '-re', '-rt', '-t']
7,5,['ba-', 'bu-', 'pu-', 'ra-', 'sa-', 'sta-', 'wi-'],['-ck', '-g', '-nk', '-sh', '-t']
7,5,['ba-', 'ca-', 'fa-', 'ma-', 'spa-', 'ta-', 'to-'],['-ke', '-n', '-r', '-re', '-t']
7,5,['ba-', 'ca-', 'fa-', 'ma-', 'sta-', 'ta-', 'to-'],['-ke', '-ll', '-r', '-re', '-t']
7,5,['ba-', 'ca-', 'fa-', 'ma-', 'ta-', 'to-', 'wa-'],['-ke', '-ll', '-n', '-r', '-re']
7,5,['ba-', 'co-', 'ma-', 'pa-', 'ra-', 'so-', 'ta-'],['-d', '-il', '-n', '-re', '-t']
7,5,['ba-', 'fa-', 'ma-', 'pa-', 'ta-', 'to-', 'wa-'],['-il', '-ll', '-n', '-r', '-re']
7,5,['ba-', 'fi-', 'ma-', 'pu-', 'ta-', 'to-', 'wi-'],['-g', '-ll', '-n', '-re', '-t']
7,5,['ba-', 'i-', 'ma-', 'si-', 'spi-', 'ta-', 'wi-'],['-ll', '-n', '-nner', '-re', '-t']
7,5,['ba-', 'ma-', 'pa-', 'ra-', 'sca-', 'ta-', 'we-'],['-d', '-n', '-re', '-t', '-tter']
7,5,['ba-', 'ma-', 'pu-', 'ra-', 'sha-', 'ta-', 'to-'],['-g', '-ke', '-re', '-t', '-tter']
7,5,['ba-', 'ma-', 'pu-', 'ra-', 'spa-', 'ta-', 'to-'],['-ke', '-n', '-re', '-t', '-tter']
7,5,['ba-', 'ma-', 'pu-', 'sha-', 'sta-', 'ta-', 'to-'],['-g', '-ke', '-ll', '-re', '-t']
7,5,['ba-', 'pa-', 'pu-', 'qui-', 'sha-', 'si-', 'ta-'],['-ck', '-ll', '-re', '-t', '-tter']
7,5,['ba-', 'pu-', 'ra-', 'sha-', 'sta-', 'ta-', 'wi-'],['-ck', '-g', '-nk', '-re', '-t']
7,5,['ca-', 'co-', 'ma-', 'pa-', 'ra-', 'so-', 'ta-'],['-d', '-n', '-p', '-re', '-t']
7,5,['ca-', 'fa-', 'fi-', 'ma-', 'pa-', 'we-', 'wi-'],['-ll', '-n', '-re', '-st', '-t']
7,5,['ca-', 'ma-', 'pa-', 'pu-', 'si-', 'ta-', 'to-'],['-ll', '-n', '-p', '-re', '-t']
7,5,['ca-', 'ma-', 'pa-', 'qui-', 'sho-', 'so-', 'ta-'],['-d', '-p', '-re', '-rt', '-t']
7,5,['chi-', 'ma-', 'pa-', 'pi-', 'pu-', 'ta-', 'to-'],['-le', '-ll', '-n', '-p', '-t']
7,5,['co-', 'ma-', 'pa-', 'ra-', 'so-', 'ta-', 'to-'],['-il', '-n', '-p', '-re', '-t']
7,5,['cu-', 'ma-', 'pa-', 'qui-', 'ra-', 'si-', 'to-'],['-p', '-re', '-t', '-te', '-tter']
7,5,['f-', 'g-', 'p-', 's-', 'sh-', 'sp-', 't-'],['-ear', '-ill', '-in', '-ore', '-un']
7,5,['f-', 'p-', 's-', 'sh-', 'sp-', 'sw-', 't-'],['-at', '-ear', '-ill', '-ine', '-ore']
7,5,['f-', 'p-', 's-', 'sh-', 'sp-', 't-', 'w-'],['-ear', '-ill', '-in', '-ore', '-ort']
7,5,['fi-', 'ma-', 'pa-', 'pu-', 'ta-', 'to-', 'wi-'],['-le', '-ll', '-n', '-re', '-t']
7,5,['fi-', 'ma-', 'pi-', 'pu-', 'ta-', 'to-', 'wi-'],['-g', '-le', '-ll', '-n', '-t']
7,5,['fi-', 'ma-', 'pu-', 'ta-', 'to-', 'wa-', 'wi-'],['-g', '-le', '-ll', '-n', '-re']
7,5,['fl-', 'l-', 'n-', 'r-', 's-', 'sl-', 't-'],['-ap', '-ick', '-ight', '-ip', '-ow']
7,5,['h-', 'l-', 'r-', 's-', 'sh-', 'sl-', 'tr-'],['-ack', '-ay', '-ip', '-ot', '-ow']
7,5,['h-', 'l-', 'r-', 'sh-', 'sl-', 't-', 'tr-'],['-ack', '-am', '-ip', '-ot', '-ow']
7,5,['ha-', 'mo-', 'pu-', 'sha-', 'sta-', 'ta-', 'wi-'],['-ck', '-le', '-nk', '-re', '-t']
7,5,['ha-', 'pa-', 'pi-', 'pu-', 'ro-', 'ta-', 'wi-'],['-ck', '-cker', '-le', '-ll', '-t']
7,5,['ha-', 'pa-', 'pi-', 'sti-', 'ta-', 'ti-', 'wi-'],['-ck', '-cker', '-le', '-ll', '-ng']
7,5,['ha-', 'pa-', 'pu-', 'sha-', 'sta-', 'ta-', 'wi-'],['-ck', '-le', '-ll', '-re', '-t']
7,5,['ha-', 'pi-', 'pu-', 'sha-', 'sta-', 'ta-', 'wi-'],['-ck', '-le', '-ll', '-nk', '-t']
7,5,['l-', 'n-', 'r-', 's-', 'sl-', 't-', 'tr-'],['-ap', '-ick', '-ip', '-ot', '-ow']
7,5,['l-', 'r-', 's-', 'sl-', 'sn-', 't-', 'tr-'],['-ack', '-ap', '-ip', '-ot', '-ow']
7,5,['li-', 'mo-', 'pa-', 'ra-', 'ro-', 'sa-', 'sha-'],['-ck', '-d', '-t', '-ve', '-ving']
7,5,['ma-', 'pa-', 'po-', 'pu-', 'ta-', 'ti-', 'to-'],['-le', '-ll', '-p', '-re', '-tter']
7,5,['ma-', 'pa-', 'pu-', 'qui-', 'si-', 'ta-', 'to-'],['-ll', '-p', '-re', '-t', '-tter']
7,5,['ma-', 'pa-', 'pu-', 'ra-', 'si-', 'ta-', 'to-'],['-n', '-p', '-re', '-t', '-tter']
7,5,['ma-', 'pa-', 'pu-', 'si-', 'ski-', 'ta-', 'to-'],['-ll', '-n', '-p', '-t', '-tter']
7,5,['ma-', 'pa-', 'pu-', 'si-', 'ta-', 'ti-', 'to-'],['-ll', '-n', '-p', '-re', '-tter']
7,5,['ma-', 'pi-', 'pu-', 'sha-', 'sta-', 'ta-', 'to-'],['-g', '-ke', '-le', '-ll', '-t']
7,5,['ma-', 'po-', 'pu-', 'sha-', 'ta-', 'ti-', 'to-'],['-ke', '-le', '-ll', '-re', '-tter']
7,5,['ma-', 'pu-', 'sha-', 'sta-', 'ta-', 'to-', 'wa-'],['-g', '-ke', '-le', '-ll', '-re']
7,5,['mo-', 'pa-', 'qui-', 'ra-', 'sho-', 'so-', 'ta-'],['-ck', '-d', '-p', '-re', '-t']
7,5,['neutr-', 'ration-', 're-', 'sentiment-', 'soci-', 'speci-', 'voc-'],['-al', '-alist', '-alization', '-alize', '-ally']
7,5,['neutra-', 'rationa-', 'rea-', 'sentimenta-', 'socia-', 'specia-', 'voca-'],['-l', '-list', '-lization', '-lize', '-lly']
7,5,['pa-', 'po-', 'pu-', 'qui-', 'si-', 'ta-', 'ti-'],['-ck', '-ll', '-p', '-re', '-tter']
7,5,['pa-', 'ra-', 'si-', 'so-', 'su-', 'ta-', 'ti-'],['-ck', '-n', '-ng', '-p', '-re']
7,5,['pi-', 'pu-', 'ri-', 'sha-', 'sta-', 'ta-', 'wi-'],['-ck', '-g', '-le', '-ll', '-nk']
7,5,['pi-', 'pu-', 'sa-', 'sha-', 'sta-', 'ta-', 'wi-'],['-ck', '-g', '-le', '-nk', '-t']
6,8,['b-', 'h-', 'p-', 'r-', 'sh-', 't-'],['-ack', '-ad', '-are', '-at', '-ear', '-ill', '-ush', '-ut']
6,8,['f-', 'p-', 's-', 'sh-', 'sp-', 't-'],['-at', '-ear', '-ill', '-in', '-ine', '-ore', '-ort', '-un']
6,8,['f-', 's-', 'sh-', 'sp-', 't-', 'w-'],['-ake', '-ear', '-ell', '-ill', '-in', '-ire', '-ore', '-ort']
6,7,['b-', 'c-', 'f-', 'm-', 't-', 'w-'],['-ake', '-all', '-an', '-ar', '-are', '-old', '-ore']
6,7,['b-', 'f-', 'm-', 'p-', 't-', 'w-'],['-ail', '-all', '-an', '-ar', '-are', '-ill', '-ore']
6,7,['b-', 'f-', 'p-', 'sp-', 't-', 'w-'],['-an', '-ar', '-are', '-ear', '-ill', '-in', '-ore']
6,7,['b-', 'f-', 's-', 'sh-', 'sp-', 't-'],['-ake', '-at', '-ear', '-ell', '-ill', '-in', '-ore']
6,7,['b-', 'f-', 'sh-', 'sp-', 't-', 'w-'],['-ake', '-are', '-ear', '-ell', '-ill', '-in', '-ore']
6,7,['b-', 'h-', 'r-', 's-', 'sh-', 't-'],['-ack', '-ad', '-ank', '-at', '-ear', '-ill', '-ow']
6,7,['b-', 'r-', 's-', 'sh-', 'st-', 't-'],['-ack', '-ag', '-ake', '-ank', '-at', '-ill', '-ow']
6,7,['l-', 'n-', 'r-', 's-', 'sl-', 't-'],['-ap', '-ick', '-ight', '-ightly', '-ip', '-ot', '-ow']
6,7,['l-', 'r-', 's-', 'sl-', 'sn-', 't-'],['-ack', '-ag', '-ake', '-ap', '-ip', '-ot', '-ow']
6,6,['b-', 'c-', 'f-', 'm-', 'p-', 't-'],['-all', '-an', '-ar', '-are', '-at', '-ore']
6,6,['b-', 'c-', 'f-', 'm-', 'sc-', 't-'],['-an', '-ar', '-are', '-at', '-old', '-ore']
6,6,['b-', 'c-', 'f-', 'm-', 'sp-', 't-'],['-ake', '-an', '-ar', '-are', '-at', '-ore']
6,6,['b-', 'c-', 'f-', 'm-', 'st-', 't-'],['-ake', '-all', '-ar', '-are', '-at', '-ore']
6,6,['b-', 'c-', 'f-', 'sp-', 't-', 'w-'],['-ake', '-an', '-ar', '-are', '-ell', '-ore']
6,6,['b-', 'c-', 'h-', 'p-', 'sh-', 't-'],['-ad', '-all', '-are', '-at', '-op', '-ut']
6,6,['b-', 'c-', 'h-', 'r-', 'sh-', 't-'],['-ad', '-are', '-at', '-ook', '-ow', '-ut']
6,6,['b-', 'c-', 'm-', 'p-', 'sc-', 't-'],['-ad', '-an', '-ar', '-are', '-at', '-ore']
6,6,['b-', 'c-', 'm-', 'p-', 'sh-', 't-'],['-ad', '-all', '-are', '-at', '-op', '-ore']
6,6,['b-', 'c-', 'm-', 'p-', 'st-', 't-'],['-all', '-ar', '-are', '-at', '-op', '-ore']
6,6,['b-', 'c-', 'm-', 'p-', 't-', 'w-'],['-ad', '-all', '-an', '-ar', '-are', '-ore']
6,6,['b-', 'c-', 'm-', 'sc-', 't-', 'w-'],['-ad', '-an', '-ar', '-are', '-old', '-ore']
6,6,['b-', 'c-', 'm-', 'sh-', 'st-', 't-'],['-ake', '-all', '-are', '-at', '-op', '-ore']
6,6,['b-', 'c-', 'p-', 'sc-', 'sp-', 't-'],['-an', '-ar', '-are', '-at', '-ent', '-ore']
6,6,['b-', 'c-', 'p-', 'sc-', 't-', 'w-'],['-ad', '-an', '-ar', '-are', '-ent', '-ore']
6,6,['b-', 'c-', 'p-', 'sh-', 'st-', 't-'],['-all', '-are', '-at', '-one', '-op', '-ore']
6,6,['b-', 'f-', 'g-', 's-', 't-', 'w-'],['-ear', '-ee', '-ill', '-in', '-old', '-ore']
6,6,['b-', 'f-', 'h-', 'm-', 'p-', 't-'],['-ail', '-all', '-are', '-at', '-eat', '-ill']
6,6,['b-', 'f-', 'm-', 'p-', 'sp-', 't-'],['-an', '-ar', '-are', '-at', '-ill', '-ore']
6,6,['b-', 'f-', 'm-', 'p-', 'sp-', 'w-'],['-an', '-ar', '-are', '-elt', '-ill', '-ore']
6,6,['b-', 'f-', 'm-', 'p-', 'st-', 't-'],['-all', '-ar', '-are', '-at', '-ill', '-ore']
6,6,['b-', 'f-', 'm-', 'sh-', 'st-', 't-'],['-ake', '-all', '-are', '-at', '-ill', '-ore']
6,6,['b-', 'f-', 'm-', 'sp-', 'st-', 't-'],['-ake', '-ar', '-are', '-at', '-ill', '-ore']
6,6,['b-', 'f-', 'm-', 'sp-', 't-', 'w-'],['-ake', '-an', '-ar', '-are', '-ill', '-ore']
6,6,['b-', 'f-', 'm-', 'st-', 't-', 'w-'],['-ake', '-all', '-ar', '-are', '-ill', '-ore']
6,6,['b-', 'f-', 'p-', 'r-', 't-', 'w-'],['-ail', '-an', '-are', '-ear', '-est', '-ill']
6,6,['b-', 'f-', 'p-', 's-', 't-', 'w-'],['-ail', '-ear', '-ee', '-ill', '-in', '-ore']
6,6,['b-', 'f-', 'p-', 'sh-', 'sp-', 't-'],['-are', '-at', '-ear', '-ill', '-in', '-ore']
6,6,['b-', 'f-', 'p-', 'sh-', 't-', 'w-'],['-all', '-are', '-ear', '-ill', '-in', '-ore']
6,6,['b-', 'f-', 'r-', 's-', 'sp-', 't-'],['-ake', '-at', '-ear', '-ender', '-ill', '-oil']
6,6,['b-', 'h-', 'm-', 'p-', 'r-', 's-'],['-ad', '-ail', '-at', '-ay', '-ill', '-ound']
6,6,['b-', 'h-', 'm-', 'p-', 'r-', 't-'],['-ad', '-ail', '-are', '-at', '-ill', '-ug']
6,6,['b-', 'h-', 'm-', 'p-', 'r-', 'w-'],['-ad', '-ail', '-are', '-ay', '-ill', '-ound']
6,6,['b-', 'h-', 'm-', 'p-', 's-', 't-'],['-ad', '-ail', '-at', '-eat', '-ill', '-op']
6,6,['b-', 'h-', 'm-', 'p-', 'sh-', 'st-'],['-all', '-are', '-at', '-ay', '-ill', '-op']
6,6,['b-', 'h-', 'm-', 'p-', 'sh-', 't-'],['-ad', '-all', '-are', '-at', '-ill', '-op']
6,6,['b-', 'h-', 'p-', 'r-', 's-', 'sh-'],['-ack', '-ad', '-at', '-ay', '-ear', '-ill']
6,6,['b-', 'h-', 'p-', 'r-', 's-', 't-'],['-ack', '-ad', '-ail', '-at', '-ear', '-ill']
6,6,['b-', 'h-', 'p-', 'r-', 's-', 'w-'],['-ad', '-ail', '-ay', '-ear', '-ill', '-ound']
6,6,['b-', 'h-', 'p-', 's-', 'sh-', 't-'],['-ack', '-ad', '-at', '-ear', '-ill', '-op']
6,6,['b-', 'h-', 'p-', 'sh-', 'st-', 't-'],['-ack', '-all', '-are', '-at', '-ill', '-op']
6,6,['b-', 'h-', 'r-', 's-', 'sh-', 'st-'],['-ack', '-ank', '-at', '-ay', '-ill', '-ow']
6,6,['b-', 'h-', 'r-', 'sh-', 'sp-', 't-'],['-ank', '-are', '-at', '-ear', '-ill', '-ook']
6,6,['b-', 'h-', 'r-', 'sh-', 'st-', 't-'],['-ack', '-ank', '-are', '-at', '-ill', '-ow']
6,6,['b-', 'h-', 's-', 'sh-', 'st-', 't-'],['-ack', '-ank', '-at', '-ill', '-op', '-ow']
6,6,['b-', 'l-', 'r-', 's-', 'sl-', 'st-'],['-ack', '-ag', '-ake', '-ay', '-ow', '-ump']
6,6,['b-', 'l-', 'r-', 's-', 't-', 'w-'],['-ad', '-ag', '-ake', '-end', '-ent', '-ow']
6,6,['b-', 'm-', 'p-', 'sc-', 'sp-', 't-'],['-an', '-ar', '-are', '-at', '-atter', '-ore']
6,6,['b-', 'm-', 'p-', 'sh-', 'sp-', 'st-'],['-are', '-ark', '-at', '-ay', '-ill', '-ore']
6,6,['b-', 'm-', 'p-', 'sh-', 'st-', 't-'],['-all', '-are', '-at', '-ill', '-op', '-ore']
6,6,['b-', 'm-', 's-', 'sh-', 'st-', 'sw-'],['-ag', '-at', '-ay', '-ill', '-op', '-ore']
6,6,['b-', 'm-', 's-', 'sh-', 'st-', 't-'],['-ag', '-ake', '-at', '-ill', '-op', '-ore']
6,6,['b-', 'm-', 'sh-', 'st-', 't-', 'w-'],['-ag', '-ake', '-all', '-are', '-ill', '-ore']
6,6,['b-', 'p-', 'r-', 's-', 't-', 'w-'],['-ad', '-ail', '-ear', '-end', '-ent', '-ill']
6,6,['b-', 'p-', 'r-', 'sc-', 'sp-', 't-'],['-an', '-are', '-at', '-atter', '-ent', '-out']
6,6,['b-', 'p-', 'r-', 'sh-', 'sp-', 't-'],['-are', '-at', '-atter', '-ear', '-ill', '-out']
6,6,['b-', 'p-', 'r-', 'sp-', 't-', 'w-'],['-an', '-are', '-ear', '-end', '-ent', '-ill']
6,6,['b-', 'p-', 's-', 'sh-', 'st-', 't-'],['-ack', '-at', '-ill', '-op', '-ore', '-uck']
6,6,['b-', 'p-', 's-', 'sh-', 't-', 'w-'],['-ad', '-ear', '-een', '-ill', '-in', '-ore']
6,6,['b-', 'p-', 's-', 'sp-', 't-', 'w-'],['-ear', '-end', '-ent', '-ill', '-in', '-ore']
6,6,['b-', 'r-', 's-', 'sh-', 'sl-', 'st-'],['-ack', '-ag', '-ake', '-at', '-ay', '-ow']
