Table 3.10.5. Government Consumption Expenditures and General Government Gross Output
Table 3.10.5. Government Consumption Expenditures and General Government Gross Output
"Last Revised on: September 25, 2025 - Next Release Date December 23, 2025"
Line,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
10,"                Less: Own-account investment4",44.2,49.5,52.5,54.6,56.3,59.6,63.4,67.0,69.7,70.4,71.4,73.8,73.8,74.6,75.7,78.1,80.6,82.8,87.3,92.4,102.6,116.7,125.0,122.2,130.9
11,"                Less: Sales to other sectors5",238.5,256.5,269.6,284.2,300.7,317.1,333.0,344.3,356.6,369.2,383.8,398.6,404.5,419.3,438.4,458.7,479.3,500.1,523.8,542.7,535.7,586.6,663.8,670.8,695.8
12,Federal consumption expenditures1,475.7,506.4,560.9,631.6,683.7,725.8,765.5,801.0,880.3,938.2,1002.9,1004.1,999.7,956.4,950.3,951.7,962.3,978.5,1034.4,1087.2,1158.7,1223.6,1230.5,1339.7,1441.5
13,"            Gross output of general government",503.9,536.0,592.4,665.1,718.4,765.0,805.6,841.1,922.6,981.8,1049.4,1055.0,1046.7,1003.2,999.0,1000.6,1013.0,1029.6,1087.0,1143.3,1221.8,1303.7,1339.9,1421.3,1521.5
14,"                Value added",360.3,370.3,397.8,434.7,459.4,488.4,509.9,535.7,569.1,603.0,640.0,659.8,663.7,658.6,667.9,674.6,686.8,702.1,729.7,751.7,788.4,826.6,872.4,929.1,986.8
15,"                    Compensation of general government employees",202.4,211.2,236.3,267.7,284.3,303.5,314.5,329.1,349.6,375.8,402.8,411.6,409.1,399.8,404.2,409.9,421.1,430.3,448.4,462.4,488.7,509.7,527.6,567.1,607.4
16,"                    Consumption of general government fixed capital2",157.9,159.1,161.5,167.0,175.1,184.9,195.4,206.7,219.5,227.2,237.2,248.1,254.6,258.8,263.7,264.7,265.7,271.8,281.3,289.3,299.7,316.9,344.8,362.0,379.3
17,"                Intermediate goods and services purchased3",143.6,165.7,194.5,230.4,259.0,276.6,295.7,305.4,353.6,378.8,409.4,395.2,383.0,344.6,331.1,326.0,326.1,327.5,357.3,391.6,433.5,477.0,467.5,492.2,534.7
18,"                    Durable goods",23.9,24.2,25.7,28.2,31.0,32.5,35.8,40.0,46.4,50.7,51.3,49.8,48.9,43.4,40.1,39.5,40.0,42.4,45.4,49.0,55.4,59.5,58.8,62.8,69.6
19,"                    Nondurable goods",19.8,22.5,24.1,28.9,34.2,40.0,42.5,44.1,53.8,51.2,55.3,57.8,55.9,50.9,48.1,44.1,43.3,45.3,50.6,50.8,46.9,67.7,74.1,68.3,72.2
20,"                    Services",99.9,119.1,144.8,173.3,193.8,204.1,217.4,221.2,253.3,276.9,302.8,287.5,278.3,250.3,242.9,242.4,242.8,239.8,261.3,291.7,331.1,349.8,334.6,361.1,393.0
21,"            Less: Own-account investment4",21.6,24.5,26.5,27.9,28.4,29.9,31.2,32.7,33.5,34.1,35.8,37.9,38.0,38.4,38.7,39.3,40.3,40.6,42.7,46.1,54.9,68.1,72.4,64.2,68.0
22,"            Less: Sales to other sectors",6.6,5.1,5.0,5.6,6.2,9.3,8.8,7.4,8.8,9.5,10.7,13.0,9.0,8.3,10.0,9.5,10.3,10.5,9.9,10.0,8.2,11.9,37.0,17.4,12.0
23,"        Defense consumption expenditures1",309.2,325.5,358.5,411.2,448.9,478.0,501.3,528.1,583.2,614.3,651.8,662.0,650.3,610.3,597.1,584.4,586.5,599.4,633.6,675.3,697.1,719.3,729.4,789.2,854.8
24,"            Gross output of general government",321.6,339.8,374.6,428.3,466.3,497.2,522.6,550.0,606.1,637.3,675.6,688.1,676.3,636.6,623.6,610.7,612.0,624.3,659.5,702.3,726.0,750.5,767.3,828.0,891.9
25,"                Value added",217.6,223.0,239.7,264.3,281.0,301.2,315.1,331.1,352.6,372.7,393.5,407.1,407.6,400.2,400.7,399.0,400.6,405.6,420.1,432.3,451.7,474.0,495.6,520.5,549.4
26,"                    Compensation of general government employees",116.9,123.2,139.3,160.8,172.2,186.0,193.0,201.5,214.3,229.2,244.0,250.8,248.0,239.6,239.1,238.7,242.2,246.1,257.4,266.8,281.4,294.8,302.5,319.9,339.7
27,"                    Consumption of general government fixed capital2",100.7,99.8,100.4,103.5,108.8,115.2,122.1,129.6,138.3,143.5,149.5,156.3,159.6,160.6,161.5,160.3,158.5,159.5,162.7,165.5,170.3,179.2,193.1,200.5,209.7
28,"                Intermediate goods and services purchased3",104.0,116.8,134.9,164.1,185.4,196.0,207.5,218.9,253.5,264.6,282.1,281.0,268.7,236.4,222.9,211.7,211.4,218.7,239.4,270.1,274.3,276.5,271.7,307.5,342.5
29,"                    Durable goods",22.1,22.3,23.4,26.0,28.5,29.8,32.8,37.0,43.2,47.1,47.4,46.2,45.2,39.9,36.5,35.7,36.2,38.6,41.3,44.9,49.0,51.1,49.2,53.5,60.3
30,"                    Nondurable goods",10.4,10.3,11.4,13.5,17.1,21.0,22.3,24.0,30.3,24.5,26.8,33.0,31.9,28.2,26.0,21.0,20.5,22.9,25.9,24.8,21.9,24.6,29.5,27.1,29.8
31,"                    Services",71.4,84.2,100.0,124.6,139.8,145.3,152.5,157.9,180.0,193.0,207.8,201.8,191.6,168.3,160.4,154.9,154.7,157.1,172.2,200.4,203.4,200.8,193.0,227.0,252.4
32,"            Less: Own-account investment4",10.4,12.2,13.8,14.6,14.8,15.7,16.9,18.5,19.1,19.2,20.2,22.2,22.3,22.8,22.6,22.4,21.9,21.3,22.1,23.2,24.9,27.0,28.8,29.2,30.8
33,"            Less: Sales to other sectors",2.0,2.1,2.3,2.6,2.7,3.5,4.4,3.4,3.8,3.8,3.7,3.9,3.6,3.5,3.9,3.8,3.5,3.7,3.8,3.9,4.0,4.3,9.1,9.5,6.3
34,"        Nondefense consumption expenditures1",166.5,180.9,202.4,220.4,234.8,247.8,264.3,272.9,297.1,323.9,351.1,342.1,349.4,346.1,353.2,367.3,375.8,379.1,400.8,412.0,461.6,504.4,501.1,550.5,586.7
35,"            Gross output of general government",182.4,196.2,217.8,236.8,252.0,267.8,283.0,291.1,316.5,344.4,373.8,366.9,370.4,366.6,375.4,389.9,401.0,405.4,427.5,440.9,495.8,553.1,572.7,593.3,629.6
36,"                Value added",142.7,147.3,158.1,170.4,178.4,187.2,194.8,204.6,216.4,230.3,246.5,252.6,256.1,258.4,267.2,275.6,286.2,296.5,309.6,319.5,336.6,352.6,376.8,408.6,437.4
37,"                    Compensation of general government employees",85.5,88.0,97.0,106.9,112.1,117.5,121.5,127.6,135.2,146.6,158.8,160.8,161.1,160.2,165.0,171.3,179.0,184.2,191.0,195.6,207.3,214.9,225.1,247.2,267.7
38,"                    Consumption of general government fixed capital2",57.2,59.3,61.1,63.5,66.3,69.7,73.3,77.1,81.2,83.7,87.7,91.8,95.0,98.2,102.2,104.4,107.3,112.3,118.6,123.8,129.3,137.7,151.7,161.4,169.7
39,"                Intermediate goods and services purchased3",39.6,48.9,59.7,66.4,73.6,80.7,88.2,86.5,100.1,114.1,127.3,114.2,114.3,108.2,108.1,114.3,114.8,108.8,117.8,121.5,159.2,200.5,195.9,184.7,192.2
40,"                    Durable goods",1.8,1.9,2.2,2.2,2.5,2.7,3.0,3.0,3.3,3.5,3.9,3.7,3.7,3.5,3.6,3.8,3.9,3.8,4.0,4.1,6.5,8.3,9.6,9.3,9.3
41,"                    Nondurable goods",9.3,12.2,12.6,15.4,17.1,19.0,20.3,20.2,23.6,26.6,28.4,24.8,24.0,22.6,22.1,23.1,22.8,22.4,24.7,26.0,25.0,43.1,44.7,41.2,42.4
42,"                        Commodity Credit Corporation inventory change",0.8,0.8,0.1,-0.1,-1.0,-0.5,-0.1,-0.1,-0.3,0.1,-0.2,0.0,0.0,0.1,-0.1,0.0,-0.1,0.0,0.0,-0.1,-0.2,0.0,0.0,0.0,0.0
43,"                        Other nondurable goods",8.5,11.4,12.5,15.5,18.1,19.6,20.3,20.2,23.8,26.5,28.6,24.8,24.0,22.5,22.2,23.1,22.8,22.4,24.6,26.1,25.1,43.1,44.7,41.2,42.3
44,"                    Services",28.5,34.8,44.8,48.7,54.0,58.9,64.9,63.3,73.3,84.0,94.9,85.8,86.7,82.0,82.4,87.4,88.1,82.6,89.1,91.3,127.8,149.1,141.6,134.2,140.6
45,"            Less: Own-account investment4",11.2,12.3,12.7,13.3,13.7,14.2,14.3,14.2,14.5,14.8,15.6,15.7,15.7,15.7,16.0,16.9,18.4,19.3,20.6,22.9,30.0,41.1,43.6,35.0,37.1
46,"            Less: Sales to other sectors",4.6,3.0,2.7,3.1,3.6,5.8,4.4,4.1,5.0,5.7,7.1,9.1,5.3,4.8,6.2,5.7,6.8,6.9,6.1,6.1,4.2,7.7,27.9,7.8,5.8
47,State and local consumption expenditures1,961.9,1031.8,1084.9,1114.8,1168.2,1236.3,1307.4,1397.5,1473.2,1495.3,1508.1,1507.2,1515.7,1574.3,1612.0,1652.2,1691.1,1737.2,1825.3,1924.8,2021.4,2152.8,2333.0,2426.2,2550.4
48,"            Gross output of general government",1216.3,1308.1,1375.5,1420.0,1490.5,1573.8,1663.8,1768.7,1857.1,1891.3,1916.9,1928.7,1947.1,2021.4,2077.4,2140.2,2200.2,2268.9,2383.8,2503.9,2596.6,2776.0,3012.4,3137.7,3297.1
49,"                Value added",824.0,882.3,930.6,970.1,1019.3,1067.0,1122.1,1191.2,1252.1,1280.5,1306.1,1313.1,1325.5,1381.1,1421.8,1468.5,1501.1,1544.9,1611.0,1661.7,1709.9,1766.6,1836.6,1952.8,2073.3
50,"                    Compensation of general government employees",732.5,785.4,829.1,864.9,907.6,944.9,989.8,1045.8,1095.9,1117.9,1141.1,1141.9,1147.1,1197.8,1232.5,1275.3,1303.3,1338.9,1393.2,1433.3,1475.0,1514.4,1553.4,1651.9,1760.8
51,"                    Consumption of general government fixed capital2",91.5,96.9,101.4,105.2,111.8,122.1,132.2,145.4,156.2,162.6,165.0,171.2,178.4,183.3,189.4,193.3,197.8,206.0,217.8,228.4,234.9,252.2,283.2,300.9,312.6
52,"                Intermediate goods and services purchased3",392.3,425.8,444.9,449.9,471.2,506.7,541.7,577.5,605.0,610.7,610.8,615.6,621.6,640.4,655.5,671.7,699.2,724.0,772.8,842.1,886.7,1009.4,1175.8,1184.9,1223.7
53,"                    Durable goods",20.9,22.1,22.1,21.5,22.0,22.5,23.2,23.9,24.1,25.2,24.2,23.3,23.5,23.9,24.4,26.2,27.5,27.7,28.6,30.7,32.4,34.0,37.3,40.8,43.3
54,"                    Nondurable goods",123.7,131.2,133.9,140.9,154.4,174.8,190.6,207.3,230.3,210.8,219.8,237.8,241.7,247.5,248.7,227.7,225.8,243.4,270.9,285.8,283.3,366.3,472.9,440.9,440.7
55,"                    Services",247.7,272.5,288.9,287.4,294.8,309.4,327.9,346.3,350.6,374.8,366.7,354.5,356.4,369.0,382.4,417.8,445.8,452.8,473.2,525.7,570.9,609.1,665.6,703.1,739.8
56,"            Less: Own-account investment4",22.6,25.0,26.0,26.7,27.8,29.7,32.2,34.3,36.1,36.3,35.6,35.9,35.8,36.2,37.0,38.8,40.2,42.1,44.6,46.3,47.7,48.6,52.6,58.0,63.0
57,"            Less: Sales to other sectors",231.8,251.4,264.6,278.6,294.4,307.8,324.2,336.9,347.8,359.7,373.1,385.6,395.5,411.0,428.4,449.2,468.9,489.5,514.0,532.7,527.5,574.7,626.8,653.5,683.8
58,"                Tuition and related educational charges",43.6,46.1,49.3,53.4,56.7,60.9,64.0,65.9,67.8,69.7,71.6,73.6,76.1,78.9,81.4,85.7,90.2,92.8,95.0,96.5,96.6,97.8,101.1,102.7,103.9
59,"                Health and hospital charges",104.0,116.2,120.7,124.8,130.9,132.3,141.0,149.3,158.4,168.7,176.1,182.4,188.5,197.6,209.0,220.1,229.7,241.7,255.2,267.9,270.6,302.9,330.8,346.7,364.1
60,"                Other sales5",84.2,89.1,94.6,100.3,106.9,114.6,119.2,121.8,121.7,121.3,125.3,129.6,130.9,134.4,138.0,143.4,149.0,155.1,163.7,168.3,160.3,174.0,194.9,204.1,215.8

Legend/Footnotes
"1. Government consumption expenditures are services (such as education and national defense) produced by government that are valued at their cost of production. Excludes government sales to other sectors and government own-account investment (construction, software, and research and development)."
"2. Consumption of fixed capital, or depreciation, is included in government gross output as a partial measure of the services of general government fixed assets; the use of depreciation assumes a zero net return on these assets."
3. Includes general government intermediate inputs for goods and services sold to other sectors and for own-account investment.
"4. Own-account investment is measured in current dollars by compensation of general government employees and related expenditures for goods and services and is classified as investment in structures, software, and research and development in table 3.9.5."
5. Includes federal purchases of research and development produced by state and local general government.
